N 50-43-43-03-13-000-0251-001     548540 25000 523540 RES 
S 50-43-44-26-09-002-4050-001    405-S 548586 25000 523586 RES 
M 50-43-43-15-35-000-4080-001    408 549185 25500 523685 RES 
M 50-43-43-15-27-000-0314-001    314B 548990 25000 523990 RES 
M 50-43-43-15-35-000-5080-001    508 549185 25000 524185 RES 
M 50-43-43-22-18-001-3210-001    321B 524380 0 524380 RES 
N 50-43-43-10-10-000-0290-001     549939 25500 524439 RES 
S 50-43-44-35-19-002-0033-001    3-C II 525000 0 525000 RES 
N 50-43-43-03-16-000-0070-001     550024 25000 525024 RES 
M 50-43-43-22-18-000-5050-001    505 525380 0 525380 RES 
N 50-43-42-34-08-000-0400-001     550423 25000 525423 RES 
N 50-43-43-10-01-000-0140-001     551403 25500 525903 RES 
M 50-43-43-14-21-000-3200-001    R-320 551000 25000 526000 RES 
S 50-43-44-23-11-000-8120-001    812 526000 0 526000 RES 
S 50-43-44-26-02-002-5010-001    501B 526000 0 526000 RES 
S 50-43-44-26-04-001-2010-001    N-201 526000 0 526000 RES 
N 50-43-42-34-11-000-0050-001     551325 25000 526325 RES 
M 50-43-43-22-18-001-2210-001    221 526925 0 526925 RES 
M 50-43-43-14-21-000-4190-001    R-419 527000 0 527000 RES 
S 50-43-44-23-05-003-1010-001    101E 527000 0 527000 RES 
S 50-43-44-23-05-003-3030-001    303E 527000 0 527000 RES 
S 50-43-44-35-05-001-6010-001    601 527000 0 527000 RES 
C 50-43-43-27-63-000-5030-001    5C 553000 25000 528000 RES 
C 50-43-43-27-63-000-5070-001    5G 528000 0 528000 RES 
M 50-43-43-22-26-000-2010-001    201 553000 25000 528000 RES 
S 50-43-44-23-05-001-1010-001    101N 528000 0 528000 RES 
S 50-43-44-23-06-002-4030-001    403 528000 0 528000 RES 
S 50-43-44-23-10-001-5010-001    PH-1-N 528000 0 528000 RES 
S 50-43-44-23-10-001-5060-001    PH-6-N 528000 0 528000 RES 
S 50-43-44-26-05-001-5020-001    PH-2-N 553213 25000 528213 RES 
C 50-43-43-26-17-000-0041-001    4A 529000 0 529000 RES 
C 50-43-43-26-17-000-0045-001    045 529000 0 529000 RES 
M 50-43-43-14-21-000-5180-001    518R 529000 0 529000 RES 
M 50-43-43-14-21-004-6150-001    R-615 529000 0 529000 RES 
S 50-43-44-26-05-002-5020-001    PH-2-S 529000 0 529000 RES 
N 50-43-43-03-03-000-0100-001     554733 25000 529733 RES 
S 50-43-44-35-13-001-0047-001    004 530000 0 530000 RES 
S 50-43-44-35-13-002-0047-001    004 530000 0 530000 RES 
N 50-43-43-02-01-000-0380-001     555078 25000 530078 RES 
M 50-43-43-15-35-000-3100-001    310 556000 25000 531000 RES 
S 50-43-44-23-06-001-3030-001    303 531000 0 531000 RES 
S 50-43-44-35-18-002-7050-001    705S 531000 0 531000 RES 
N 50-43-43-03-12-000-0130-001     556204 25000 531204 RES 
M 50-43-43-22-18-000-4140-001    A414 556847 25500 531347 RES 
N 50-43-43-03-12-000-0560-001     556966 25000 531966 RES 
M 50-43-43-14-23-000-2050-001    205 532000 0 532000 RES 
M 50-43-43-23-15-000-0150-001    A5 532000 0 532000 RES 
S 50-43-44-23-05-003-4030-001    403E 532000 0 532000 RES 
S 50-43-44-23-10-001-5030-001    PH-3-N 532000 0 532000 RES 
S 50-43-44-35-02-000-5080-001    508 532000 0 532000 RES 
S 50-43-44-35-18-001-3040-001    304N 532000 0 532000 RES 
S 50-43-44-35-18-001-6010-001    601N 532000 0 532000 RES 
S 50-43-44-35-18-002-3040-001    304S 532000 0 532000 RES 
S 50-43-44-35-24-000-5010-001    501 532000 0 532000 RES 
S 50-43-44-26-05-001-5030-001    PH-3-N 557127 25000 532127 RES 
S 50-43-44-26-05-002-5050-001    PH-5-S 557127 25000 532127 RES 
S 50-43-44-26-03-001-1030-001    103N 557436 25000 532436 RES 
C 50-43-43-26-07-000-2020-001    202 533000 0 533000 RES 
