M 50-43-43-14-21-000-5240-001    R-524 1044000 0 1044000 RES 
M 50-43-43-14-21-000-6060-001    R-606 1044000 0 1044000 RES 
M 50-43-43-14-21-000-6070-001    R-607 1044000 0 1044000 RES 
M 50-43-43-23-07-000-0040-001    2C 1044000 0 1044000 RES 
S 50-43-44-26-09-001-1030-001    103-N 1044000 0 1044000 RES 
C 50-43-43-27-74-000-0020-001    B 1069301 25000 1044301 RES 
M 50-43-43-23-10-000-0034-001    4C 1045000 0 1045000 RES 
C 50-43-43-26-05-000-4150-001    415 1047000 0 1047000 RES 
S 50-43-44-14-02-001-6020-001    602-N 1047000 0 1047000 RES 
S 50-43-44-14-02-001-6070-001    607N 1047000 0 1047000 RES 
N 50-43-43-10-10-000-0060-001     1072152 25000 1047152 RES 
C 50-43-44-11-05-001-2040-001    204N 1048000 0 1048000 RES 
S 50-43-44-14-02-001-2050-001    205-N 1048000 0 1048000 RES 
S 50-43-44-14-02-002-2040-001    204S 1048000 0 1048000 RES 
S 50-43-44-14-02-002-2050-001    205S 1048000 0 1048000 RES 
C 50-43-43-27-36-000-0070-001     1049000 0 1049000 RES 
N 50-43-43-10-02-000-0090-001     1075911 25000 1050911 RES 
M 50-43-43-14-10-005-0320-001     1051703 0 1051703 RES 
C 50-43-43-27-36-000-0090-001     1053000 0 1053000 RES 
M 50-43-43-14-28-000-0020-001    2 1054000 0 1054000 RES 
S 50-43-44-26-08-001-5050-001    N-505 1056000 0 1056000 RES 
C 50-43-43-26-05-000-5150-001    515 1057000 0 1057000 RES 
C 50-43-43-27-67-000-2010-001    2-A 1058000 0 1058000 RES 
M 50-43-43-15-27-000-0304-001    0304 1058000 0 1058000 RES 
M 50-43-43-23-07-000-0100-001    3C 1059000 0 1059000 RES 
M 50-43-43-23-05-007-0371-001     1059041 0 1059041 RES 
M 50-43-43-22-08-000-6400-001     1059213 0 1059213 RES 
M 50-43-43-23-05-001-0123-001    E 1085127 25000 1060127 RES 
M 50-43-43-22-17-000-0310-001    5-D 1085247 25000 1060247 RES 
C 50-43-43-27-53-000-3101-001    PH-101 1085922 25000 1060922 RES 
C 50-43-43-27-71-001-2080-001     1061911 0 1061911 RES 
C 50-43-44-11-05-002-3040-001    304S 1088000 25500 1062500 RES 
N 50-43-42-34-08-000-0240-001     1087962 25000 1062962 RES 
C 50-43-44-11-05-001-3060-001    306N 1088000 25000 1063000 RES 
M 50-43-43-14-21-000-6240-001    R-624 1064000 0 1064000 RES 
M 50-43-43-14-21-000-6250-001    R-625 1064000 0 1064000 RES 
M 50-43-43-15-27-000-1102-001    1102 1089534 25500 1064034 RES 
M 50-43-43-23-10-000-0041-001    5C 1065000 0 1065000 RES 
N 50-43-43-14-05-000-0140-001     1090494 25000 1065494 RES 
N 50-43-43-10-24-000-0100-001     1090720 25000 1065720 RES 
C 50-43-43-26-05-000-6110-001    611 1067000 0 1067000 RES 
C 50-43-43-26-05-000-6150-001    615 1067000 0 1067000 RES 
M 50-43-43-22-04-000-0400-001     1092674 25000 1067674 RES 
M 50-43-43-22-06-000-0890-001     1067916 0 1067916 RES 
C 50-43-43-27-72-000-0010-001    A 1094000 25000 1069000 RES 
M 50-43-43-22-07-000-4210-001     1069749 0 1069749 RES 
M 50-43-43-15-27-000-0406-001    406-T 1070000 0 1070000 RES 
M 50-43-43-15-27-000-0411-001    0411 1070000 0 1070000 RES 
M 50-43-43-23-12-000-0015-001    E-1 1070000 0 1070000 RES 
S 50-43-44-26-08-001-6050-001    N-605 1071000 0 1071000 RES 
C 50-43-43-27-67-000-3010-001    3-A 1073000 0 1073000 RES 
N 50-43-42-34-07-000-0160-001     1098130 25000 1073130 RES 
M 50-43-43-14-21-000-6020-001    602R 1098297 25000 1073297 RES 
M 50-43-43-14-21-000-6120-001    612R 1098297 25000 1073297 RES 
M 50-43-43-22-07-000-4290-001     1074702 0 1074702 RES 
M 50-43-43-23-05-003-0011-001     1074914 0 1074914 RES 
M 50-43-43-23-07-000-0050-001    2D 1100000 25000 1075000 RES 
S 50-43-44-23-18-001-3010-001    301N/CAB15 1101488 25500 1075988 RES 
S 50-43-44-15-01-000-0420-001     1076339 0 1076339 RES 
M 50-43-43-22-04-000-0600-001     1101938 25000 1076938 RES 
C 50-43-43-26-05-000-7110-001    711 1077000 0 1077000 RES 
C 50-43-43-26-05-000-7150-001    715 1077000 0 1077000 RES 
M 50-43-43-23-05-008-0470-001     1103799 25000 1078799 RES 
M 50-43-43-22-17-000-0260-001    4-E 1078900 0 1078900 RES 
M 50-43-43-23-05-025-0011-001     1104931 25000 1079931 RES 
S 50-43-44-14-02-001-5050-001    505-N 1104950 25000 1079950 RES 
